0,010; -0,360
0,014; -0,357
0,020; -0,355
0,029; -0,347
0,037; -0,329
0,047; -0,316
0,055; -0,314
0,064; -0,306
0,084; -0,311
0,108; -0,326
0,132; -0,329
0,167; -0,349
0,210; -0,361
0,255; -0,374
0,283; -0,377
0,321; -0,356
0,343; -0,356
0,395; -0,333
0,498; -0,298
0,552; -0,287
0,678; -0,231
0,761; -0,191
0,823; -0,162
0,998; -0,122
1,180; -0,096
1,395; -0,068
1,607; -0,071
2,026; -0,035
2,458; -0,012
3,020; -0,007
3,479; 0,011
3,907; -0,004
4,113; -0,002
4,330; -0,012
4,559; -0,009
4,800; -0,042
5,531; 0,009
6,623; 0,021
7,342; 0,042
8,034; 0,050
8,568; 0,011
10,000; 0,039
