SA 0.40s [g],MAFE
5.000000000000000104e-04,1.773350133517296590e-01
7.271079999999999644e-04,1.586437633895200205e-01
1.057371000000000092e-03,1.387436817934578626e-01
1.537645999999999935e-03,1.188154286558491118e-01
2.236067999999999910e-03,9.975205189971367292e-02
3.251725000000000015e-03,8.217414426115871029e-02
4.728707999999999870e-03,6.643423504409605440e-02
6.876560000000000311e-03,5.268577435080312732e-02
1.000000000000000021e-02,4.093700896559297059e-02
1.454215399999999984e-02,3.110060445627924053e-02
2.114742500000000094e-02,2.303551503568351116e-02
3.075291200000000030e-02,1.658396633003114337e-02
4.472136000000000167e-02,1.157406092338153329e-02
6.503449099999999983e-02,7.809628524840482588e-03
9.457416100000000381e-02,5.509273770278182679e-03
1.375312039999999902e-01,3.152407177491670532e-03
2.000000000000000111e-01,1.852352160627817506e-03
2.908430870000000001e-01,1.012880630401963560e-03
4.229485049999999746e-01,5.042434507653798057e-04
6.150582439999999762e-01,2.228165843042775993e-04
8.944271910000000103e-01,8.477943518599467181e-05
1.300689825000000077e+00,2.671783812770060906e-05
1.891483218000000077e+00,6.601089239640360961e-06
2.750624087999999912e+00,1.100030251109757465e-06
4.000000000000000000e+00,1.000002500014884643e-07
