PGA [g],MAFE
5.000000000000000104e-04,1.409863768660789551e-01
7.184440000000000487e-04,1.229016407154712998e-01
1.032324000000000045e-03,1.055781394605640744e-01
1.483333999999999998e-03,8.943727637359724647e-02
2.131384999999999964e-03,7.473871775059247324e-02
3.062562000000000010e-03,6.160968772844116481e-02
4.400559000000000068e-03,5.008668294908198704e-02
6.323111000000000183e-03,4.013973871165611024e-02
9.085602999999999388e-03,3.169529624458432976e-02
1.305499499999999979e-02,2.464813145976966352e-02
1.875856799999999977e-02,1.886989866730072463e-02
2.695396499999999987e-02,1.420358817914924889e-02
3.872983299999999823e-02,1.046805436421124197e-02
5.565043900000000293e-02,7.486510342736063528e-03
7.996345800000000115e-02,5.124417475892003790e-03
1.148985470000000036e-01,3.302068858956159255e-03
1.650963619999999965e-01,1.969618024658558852e-03
2.372250099999999862e-01,1.070251946495936026e-03
3.408658099999999913e-01,5.208024014183694700e-04
4.897860490000000011e-01,2.227761362204055029e-04
7.037677789999999822e-01,8.198782066928438702e-05
1.011235595999999903e+00,2.537609184441176778e-05
1.453032462999999996e+00,6.294990568726791074e-06
2.087845154000000036e+00,1.200036001439044484e-06
3.000000000000000000e+00,1.600006400035733629e-07
